District,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Texas North,1039,1134,1087,903,1068,1052,1083,1008,931,919,1005,1069,1377,1375,1374,1430,1484,1556,1380,1549,1652,1559,1221
Texas South,4595,5058,5122,6418,6264,5582,6516,7602,8494,8314,6586,6992,6380,6229,6482,6635,6138,7815,8538,8052,7274,6425,6122
Texas West,4993,5067,5236,5840,5981,5779,7234,8505,8833,8526,9329,7792,6748,6479,6228,6612,8087,9769,8492,5243,6059,7539,8035
Utah,671,877,868,941,979,916,870,835,900,1086,675,702,624,618,684,734,692,674,685,658,741,761,653
Vermont,177,175,205,205,202,140,164,195,178,163,229,221,205,179,188,178,161,166,155,124,135,137,165
Virgin Islands,87,94,92,97,117,106,82,73,76,62,65,51,62,60,59,74,57,86,37,56,56,67,97
Virginia East,1618,1985,2097,1844,1746,1767,2032,2117,2075,2067,1896,1707,1630,1461,1413,1181,1331,1211,813,968,919,884,777
Virginia West,401,575,474,600,599,624,404,500,369,379,378,470,402,376,313,276,238,243,287,239,279,210,196
W Virginia North,269,270,252,289,377,268,469,413,286,312,324,358,345,419,310,235,262,282,235,250,323,310,346
W Virginia South,262,314,226,327,269,254,272,284,242,312,305,235,297,284,217,221,239,315,262,220,269,227,230
Washington East,305,376,405,417,363,364,338,429,404,371,305,369,390,380,305,338,345,360,238,199,213,289,286
Washington West,598,707,765,876,839,847,838,953,875,792,733,773,676,508,534,462,507,466,269,358,374,359,317
Wisconsin East,284,286,373,345,328,406,492,468,472,501,500,435,350,257,301,304,252,269,265,263,337,328,286
Wisconsin West,124,174,198,206,220,197,194,192,210,187,156,153,152,119,125,116,156,188,151,132,143,146,117
Wyoming,134,222,284,282,345,382,339,432,417,355,276,217,290,253,216,233,219,182,160,171,149,138,179
