District,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Texas West,0,0,57.0,180.0,0,107.0,0,98.17,24.0,120.0,114.0,0,0,120.0,0,91.0,48.25,84.0,120.0,73.5,57.0,140.0,131.78
Utah,0,0,71.0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240.0
Vermont,0,0,0,0,0,0,0,0,0,0,0,33.0,0,0,0,0,0,0,0,0,90.0,0,33.0
Virgin Islands,45.0,0,0,0,0,0,0,0,0,0,120.0,0,0,0,0,0,0,48.0,0,0,0,0,0
Virginia East,0,0,88.0,0,0,0,0,120.0,0,120.0,0,105.0,0,90.0,0,120.0,0,60.0,120.0,0,0,114.2,63.0
Virginia West,0,155.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,0,0,0
W Virginia North,0,0,0,51.0,0,0,0,0,0,0,0,0,0,0,0,105.0,0,0,0,0,0,0,0
W Virginia South,86.0,30.0,0,0,0,0,0,0,0,0,90.0,120.0,84.0,0,0,120.0,54.5,0,0,51.5,93.67,85.33,120.0
Washington East,0,0,0,0,0,0,0,0,0,0,37.0,0,0,51.0,0,0,0,0,0,84.0,0,0,0
Washington West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin West,0,0,0,0,0,120.0,0,0,0,0,120.0,0,120.0,180.0,0,0,0,51.0,0,0,0,0,0
Wyoming,0,0,0,108.0,0,0,0,0,84.0,180.0,0,0,117.0,0,0,0,0,0,0,0,0,0,87.0
